Case_Num	Prod_Period	Prod_Type	Shift	Line	Prop_Def	Strength	Rating	Line_Speed	Tank_Acid	Moisture	Temp	Storage_Pct	Anneal_Temp	Bake_1_Temp	Bake_2_Temp	Roll_Tension	Rewind_Speed	Coating_Speed
265	2	5	2	2	.023	468.85	3.91	492	3.7	49	73.53	94	236	136.4	201.4	2.7	125	101.2
266	2	5	2	2	.028	450.02	3.81	478.5	3.6	49.8	79.18	94.5	242	136.4	201.4	1.4	125	101.23
267	2	5	2	2	.031	221.86	1.74	301.3	2.59	44.3	65.65	77.2	172	137	201.3	5	125	101.2
268	2	5	1	2	.027	259.47	2.11	425.6	3.22	49.8	65.04	74.2	169	137	201.3	7.2	125	101.2
269	2	5	2	2	.031	287.05	2.42	329.6	2.85	43.6	69.08	93.8	231	136.5	201.4	25	125	101.2
270	2	5	1	2	.035	468.85	3.91	480.9	3.84	49	80.8	98.2	250	136.3	201.5	25	125	101.2
271	2	5	1	2	.026	467.59	3.96	487.1	3.73	49.8	79.99	98	246	136.4	201.4	25	125	101.2
272	2	5	2	3	.036	348.47	2.92	365.3	3.35	47.5	74.33	75.5	175	136.9	201.2	9.5	125	101.2
273	2	5	2	3	.033	292.07	2.3	345.6	3.1	44.2	71.1	79.2	183	136.9	201.4	1.8	125	101.24
274	2	5	1	2	.024	354.75	3.08	402.2	3.67	48	70.7	90	213	136.7	201.4	25	125	101.2
275	2	5	2	3	.031	347.22	2.97	377.6	3.29	48	80.8	66	170	136.8	201.1	9.9	201.3	101.259999
276	2	5	3	3	.033	372.32	3.06	403.4	3.55	48.8	67.26	75.7	192	136.7	201.2	9.5	134.2	101.22
277	2	5	2	1	.038	428.72	3.42	448.9	3.12	48.4	78.78	86	198	136.8	201.4	25	125	101.22
278	2	6	3	1	.036	401.15	3.34	460	3.18	44.3	64.84	77.2	182	136.9	201.3	5.9	125	101.22
279	2	6	2	2	.037	414.92	3.42	435.4	3.57	46.3	72.31	83	192	136.8	201.4	4.1	125	101.2
280	2	6	2	2	.049	470.1	3.82	453.9	3.69	47.5	76.76	78	168	137	201.3	6.8	125	101.2
281	2	6	2	3	.034	290.81	2.21	369	3.41	43.9	60.6	77.7	182	136.9	201.3	6.3	125	101.2
282	2	6	3	3	.037	295.83	2.86	382.5	3.68	46.2	68.07	77	173	137	201.3	6.3	125	101.2
283	2	6	3	1	.016	399.89	3.13	442.8	3.5	48.8	71.71	81	179	137	201.4	2.7	125	101.2
284	2	6	2	3	.035	258.22	2.31	348.1	3.21	45.7	70.7	80	190	136.8	201.3	4.1	67.1	101.2
285	2	6	3	3	.033	406.17	3.45	447.7	3.35	48.8	79.38	85	199	136.8	201.4	3.6	125	101.2
286	2	6	2	3	.039	330.94	2.69	346.8	2.58	47.7	70.7	76.5	177	136.9	201.3	8.1	125	101.2
287	2	6	2	3	.011	273.28	2.55	380.1	3.4	49.8	80.8	81.5	179	137	201.4	4.5	125	101.2
288	2	6	2	1	.022	376.08	3.05	430.5	3.57	48	76.15	82.2	188	136.9	201.4	3.6	125	101.2
289	2	6	2	3	.04	369.81	3.18	441.6	3.58	48.3	77.16	91.5	224	136.6	201.4	25	125	101.2
290	2	6	3	3	.03	397.38	3.07	426.8	3.57	48.7	76.76	92	226	136.6	201.4	25	125	101.2
291	2	6	1	2	.037	382.32	3.16	323.5	3.29	45	65.25	62	162	136.8	201	14	402.6	101.22
292	2	6	1	2	.034	345.96	3	322.2	3.38	48.4	70.7	69	161	137	201.2	7.2	67.1	101.24
293	2	6	1	3	.012	319.64	3	471.1	3.5	46	70.7	90.5	212	136.7	201.4	25	125	101.2
299	2	6	1	3	.032	387.34	3.31	450.2	3.7	46.3	69.28	82.7	191	136.8	201.4	3.6	125	101.2
301	2	6	1	3	.046	364.79	3.09	391.1	3.27	47.9	77.97	74.5	176	136.9	201.2	9	67.1	101.2
302	2	6	1	2	.033	258.22	2.06	328.4	3.32	44.4	70.7	73.5	171	136.9	201.2	9.5	125	101.2
303	2	6	2	2	.041	229.39	1.98	302.6	3.34	43.2	72.11	73.7	177	136.8	201.2	10.4	67.1	101.2
304	2	6	1	3	.043	448.77	3.84	460	3.93	49.8	77.56	83.5	195	136.8	201.3	4.5	125	101.2
305	2	6	2	3	.036	446.26	3.75	447.7	3.75	49.8	80.8	86.2	209	136.6	201.3	4.5	125	101.2
306	3	1	1	2	.022	369.81	3.41	441.6	3.67	47.9	60.6	73.7	171	137	201.3	6.3	100.7	101.2
307	3	1	1	2	.029	384.83	3.48	455.1	3.76	49.8	70.7	74	178	136.8	201.2	10.9	125	101.2
308	3	1	2	3	.036	407.42	3.67	407.1	3.83	49.8	77.36	70.5	171	136.8	201.1	10.9	268.4	101.2
309	3	1	2	3	.026	409.9	3.85	402.2	3.88	48.9	80.8	73.7	182	136.7	201.1	13.1	134.2	101.2
310	3	1	1	3	.02	307.13	3.3	479.7	3.7	49.8	80.8	81.3	198	136.6	201.2	9.9	125	101.2
311	3	1	1	3	.014	421.19	3.36	439.1	3.79	48	80.8	75	192	136.7	201.2	7.2	167.8	101.249999
312	3	1	1	2	.016	438.76	3.19	423.1	3.5	46.2	67.26	68.8	170	136.9	201.2	9	234.8	101.2
313	3	1	2	2	.015	442.49	3.6	442.8	3.64	44.4	50.5	68.8	170	136.9	201.2	9	234.8	101.2
314	3	1	1	2	.024	417.43	3.21	394.8	3	47.5	80.8	69	171	136.7	201	19.4	125	101.2
315	3	1	1	2	.02	455.04	3.79	464.9	3.53	45.3	74.13	69	171	136.7	201	19.4	125	101.2
316	3	1	1	3	.029	462.57	3.86	474.8	3.74	49.8	77.36	77	180	136.9	201.3	5	125	101.24
